id,time_stamp,daily_steps,avg_daily_mets,avg_daily_intensity,daily_calories_burned
1503960366,2016-04-12,13158,17.5285,0.2979,1985.204592
1503960366,2016-04-13,10735,15.8743,0.2208,1797.860299
1503960366,2016-04-14,10460,15.6868,0.2035,1776.624798
1503960366,2016-04-15,9685,15.4097,0.2528,1745.243449
1503960366,2016-04-16,12669,16.4542,0.2424,1863.533046
1503960366,2016-04-17,9705,15.2583,0.2208,1728.09775
1503960366,2016-04-18,13019,16.9674,0.2715,1921.655395
1503960366,2016-04-19,15506,17.9743,0.3306,2035.697892
1503960366,2016-04-20,10544,15.775,0.2174,1786.613348
1503960366,2016-04-21,9819,15.6785,0.1972,1775.680999
1503960366,2016-04-22,12764,16.1403,0.2653,1827.983247
1503960366,2016-04-23,14371,17.2125,0.2965,1949.418843
1503960366,2016-04-24,10039,15.7958,0.2535,1788.972848
1503960366,2016-04-25,15355,17.775,0.3215,2013.125341
1503960366,2016-04-26,13755,17.4,0.2903,1970.654343
1503960366,2016-04-27,18125,19.0632,0.3465,2159.021087
1503960366,2016-04-28,13091,16.7646,0.2701,1898.689595
1503960366,2016-04-29,11181,16.2257,0.2188,1837.657197
1503960366,2016-04-30,14673,17.1965,0.3063,1947.609893
1503960366,2016-05-01,10602,16.1681,0.2882,1831.129247
1503960366,2016-05-02,14710,17.816,0.2986,2017.765692
1503960366,2016-05-03,15103,17.6924,0.3139,1990.772808
1503960366,2016-05-04,11100,16.1715,0.2465,1819.646206
1503960366,2016-05-05,14047,17.4181,0.3007,1959.907502
1503960366,2016-05-06,12159,16.8556,0.259,1896.614103
1503960366,2016-05-07,11992,16.1882,0.2625,1821.521563
1503960366,2016-05-08,10060,15.4688,0.2438,1740.56853
1503960366,2016-05-09,12022,16.1729,0.2542,1819.80249
1503960366,2016-05-10,12207,16.5264,0.2875,1859.575747
1503960366,2016-05-11,11890,17.5024,0.3119,1723.221444
1624580081,2016-04-12,8163,11.9681,0.1014,1432.145366
1624580081,2016-04-13,7007,11.7986,0.1028,1411.868965
1624580081,2016-04-14,9107,13.1375,0.1639,1572.085773
1624580081,2016-04-15,1490,11.2319,0.0667,1344.059362
1624580081,2016-04-16,5370,12.2319,0.1222,1463.723366
1624580081,2016-04-17,6150,12.9903,0.15,1554.468567
1624580081,2016-04-18,10536,13.4083,0.1854,1604.49477
1624580081,2016-04-19,2916,11.9958,0.0979,1435.469364
1624580081,2016-04-20,4974,12.0847,0.1049,1446.106163
1624580081,2016-04-21,6349,12.2569,0.1292,1466.714966
1624580081,2016-04-22,4002,12.2917,0.1382,1470.869965
1624580081,2016-04-23,8538,13.0611,0.1576,1562.944771
1624580081,2016-04-24,6076,13.5139,0.1868,1617.125968
1624580081,2016-04-25,6487,12.4722,0.1403,1492.475967
1624580081,2016-04-26,2826,11.7181,0.0972,1402.229363
1624580081,2016-04-27,8367,13.9569,0.1924,1670.14377
1624580081,2016-04-28,2759,11.7153,0.0868,1401.896962
1624580081,2016-04-29,2390,11.7361,0.1042,1404.389962
1624580081,2016-04-30,6474,13.8347,0.2104,1655.518169
1624580081,2016-05-01,36019,22.4861,0.5938,2690.777976
1624580081,2016-05-02,7155,12.5111,0.1382,1497.129565
1624580081,2016-05-03,2100,11.15,0.0667,1334.253561
1624580081,2016-05-04,2193,11.4389,0.0819,1368.823162
1624580081,2016-05-05,2470,11.4556,0.0813,1370.817562
1624580081,2016-05-06,1727,11.2083,0.0708,1341.233961
1624580081,2016-05-07,2104,12.3181,0.1264,1474.027765
1624580081,2016-05-08,3427,11.9278,0.1056,1427.325565
1624580081,2016-05-09,1732,11.1028,0.0632,1328.60276
1624580081,2016-05-10,2969,11.6431,0.0965,1393.254565
1624580081,2016-05-11,3134,11.3569,0.0778,1359.017362
1624580081,2016-05-12,2739,12.0083,0.1031,957.9767762
1644430081,2016-04-12,10694,15.8111,0.2528,3199.587057
1644430081,2016-04-13,8001,14.3444,0.1785,2902.787698
1644430081,2016-04-14,11037,15.9444,0.266,3226.568817
1644430081,2016-04-15,5263,13.5917,0.1299,2750.453176
1644430081,2016-04-16,15223,17.2639,0.3118,3493.575822
1644430081,2016-04-17,8757,14.8792,0.2076,3010.995796
1644430081,2016-04-18,7132,13.8694,0.1611,2806.665177
1644430081,2016-04-19,11231,16.0819,0.2674,3254.393754
1644430081,2016-04-20,2436,12.0097,0.0868,2430.325844
1644430081,2016-04-21,1223,10.5778,0.0264,2140.552989
1644430081,2016-04-22,3673,11.5847,0.0597,2344.321488
1644430081,2016-04-23,6637,13.2306,0.1319,2677.377585
1644430081,2016-04-24,3321,11.9278,0.0618,2413.743304
1644430081,2016-04-25,3580,12.3417,0.0833,2497.499183
1644430081,2016-04-26,9919,15.4333,0.2347,3123.138737
1644430081,2016-04-27,3032,12.3028,0.0819,2489.629499
1644430081,2016-04-28,9405,15.3625,0.2375,3108.804672
1644430081,2016-04-29,3176,12.3444,0.0833,2498.061301
1644430081,2016-04-30,18213,19.0069,0.3965,3846.306119
1644430081,2016-05-01,6132,13.3236,0.141,2696.208603
1644430081,2016-05-02,3728,12.5333,0.0986,2536.285463
1644430081,2016-05-03,12789,16.4111,0.3028,3321.004976
1644430081,2016-05-04,2309,10.9847,0.0361,2222.90357
1644430081,2016-05-05,4363,12.1757,0.0854,2463.912515
1644430081,2016-05-06,9758,16.7236,0.2944,3384.243474
1644430081,2016-05-07,13372,16.8215,0.2778,3404.058207
1644430081,2016-05-08,6724,14.7653,0.2049,2987.948879
1644430081,2016-05-09,6643,14.8667,0.2854,3008.466262
1644430081,2016-05-10,9167,13.8361,0.159,2799.919747
1644430081,2016-05-11,989,11.6528,0.0556,1179.046711
1844505072,2016-04-12,6697,15.0722,0.2354,2030.84332
1844505072,2016-04-13,4929,13.8056,0.1722,1860.171632
1844505072,2016-04-14,7905,15.8139,0.259,2130.776088
1844505072,2016-04-15,3844,12.8097,0.1222,1725.992243
1844505072,2016-04-16,3414,12.3028,0.1021,1657.686136
1844505072,2016-04-17,4525,13.3139,0.1535,1793.924067
1844505072,2016-04-18,4597,13.4611,0.1674,1813.760907
1844505072,2016-04-19,197,10.1417,0.0069,1366.49628
1844505072,2016-04-20,8,10.0153,0.0007,1349.466539
1844505072,2016-04-21,8054,15.3097,0.2361,2062.844261
1844505072,2016-04-22,5372,13.5667,0.1528,1827.983546
1844505072,2016-04-23,3570,12.2097,0.0965,1645.147753
1844505072,2016-04-24,0,10,0,1347.407999
1844505072,2016-04-25,0,10,0,1347.407999
1844505072,2016-04-26,0,10,0,1347.407999
1844505072,2016-04-27,4,10.0111,0.0007,1348.905119
1844505072,2016-04-28,6899,14.7875,0.2097,1992.479616
1844505072,2016-04-29,4920,13.7778,0.1715,1856.428831
1844505072,2016-04-30,4014,13.0861,0.1278,1763.233109
1844505072,2016-05-01,2573,11.4417,0.0618,1541.659327
1844505072,2016-05-02,0,10.0056,0,1348.156559
1844505072,2016-05-03,4059,12.9347,0.1278,1742.834844
1844505072,2016-05-04,2080,11.5014,0.0604,1549.706353
1844505072,2016-05-05,2237,11.8,0.0833,1589.941455
1844505072,2016-05-06,44,10.0292,0.0014,1351.337939
1844505072,2016-05-07,0,10.0014,0,1347.595139
1844505072,2016-05-08,0,10.0014,0,1347.595139
1844505072,2016-05-09,0,10,0,1347.407999
1844505072,2016-05-10,0,10,0,1347.407999
1844505072,2016-05-11,0,10,0,1347.407999
1844505072,2016-05-12,0,10,0,617.5619996
1927972279,2016-04-12,678,10.8326,0.0382,2193.219415
1927972279,2016-04-13,356,10.4264,0.0222,2151.055833
1927972279,2016-04-14,2163,11.5507,0.0736,2383.009963
1927972279,2016-04-15,980,10.7694,0.0354,2221.831213
1927972279,2016-04-16,0,10,0,2063.088055
1927972279,2016-04-17,0,10.0014,0,2063.374595
1927972279,2016-04-18,244,10.2333,0.0118,2111.226774
1927972279,2016-04-19,0,10,0,2063.088055
1927972279,2016-04-20,0,10,0,2063.088055
1927972279,2016-04-21,0,10.0049,0,2064.090944
1927972279,2016-04-22,149,10.1472,0.0069,2093.461294
1927972279,2016-04-23,2945,12.1139,0.1007,2499.20193
1927972279,2016-04-24,2090,11.2688,0.0625,2324.842341
1927972279,2016-04-25,152,10.1736,0.0083,2098.905554
1927972279,2016-04-26,3761,12.7889,0.1333,2638.460368
1927972279,2016-04-27,0,10.0014,0,2063.374595
1927972279,2016-04-28,1675,11.3965,0.066,2351.204022
1927972279,2016-04-29,0,10,0,2063.088055
1927972279,2016-04-30,0,10,0,2063.088055
1927972279,2016-05-01,2704,11.6889,0.0792,2411.520696
1927972279,2016-05-02,3790,12.1424,0.1097,2505.076003
1927972279,2016-05-03,1326,10.6438,0.0326,2195.899345
1927972279,2016-05-04,1786,11.3361,0.0604,2338.739533
1927972279,2016-05-05,0,10,0,2063.088055
1927972279,2016-05-06,2091,11.5507,0.075,2383.009961
1927972279,2016-05-07,1510,10.809,0.0333,2229.997603
1927972279,2016-05-08,0,10.0007,0,2063.231325
1927972279,2016-05-09,0,10,0,2063.088055
1927972279,2016-05-10,0,10,0,2063.088055
1927972279,2016-05-11,0,10,0,2063.088055
1927972279,2016-05-12,0,10,0,1375.392036
2022484408,2016-04-12,11875,15.9965,0.2646,2390.341977
